"artifact_id","workflow","report_date","source_report","execution_mode","reported_outcome","assessment_scope","reported_new_sheets","reported_new_data_rows","validation_scope","intervention","provenance_notes","source_sha256","inventory_date"
"avaya_call_log_report_2026-07-28","avaya-call-log","2026-07-28","avaya_call_log_report_2026-07-28.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","865d0450cc01c18847e4657175d4ef2ae15b8daf3ee41c556c8fb4cb115c4525","2026-09-22"
"avaya_call_log_report_2026-07-29","avaya-call-log","2026-07-29","avaya_call_log_report_2026-07-29.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","0c62c82f93aa538a538cc878d4e450f3c2facc80cf3a9e9499a9b6f88d72144a","2026-09-22"
"avaya_call_log_report_2026-07-30","avaya-call-log","2026-07-30","avaya_call_log_report_2026-07-30.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","3abfd6122c6364fcca811f95f15d112b8425f8eda90db9c3963cf4ca66c419a6","2026-09-22"
"avaya_call_log_report_2026-07-31","avaya-call-log","2026-07-31","avaya_call_log_report_2026-07-31.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","0ba1f3ff9043353fd5d9ec193fe3650c160cd94a831182ffd4279333b9327527","2026-09-22"
"avaya_call_log_report_2026-08-03","avaya-call-log","2026-08-03","avaya_call_log_report_2026-08-03.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","b2116813cc0a838edc924c564054ad705e4213f336516062159ac1834dfe3ca8","2026-09-22"
"avaya_call_log_report_2026-08-04","avaya-call-log","2026-08-04","avaya_call_log_report_2026-08-04.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","2b88fbd72d4ef3ad6e306f1567dc587187eb7239fd905af5003c8f56ced73ed0","2026-09-22"
"avaya_call_log_report_2026-08-05","avaya-call-log","2026-08-05","avaya_call_log_report_2026-08-05.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","af7c3c72182cf20d233f86228651aa14f66fc272b9ec3a5c7c51d09f2c985055","2026-09-22"
"avaya_call_log_report_2026-08-06","avaya-call-log","2026-08-06","avaya_call_log_report_2026-08-06.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","83fd15631152bc524e54323fc04c705df8a0a917a377125b94513debc05d1e9f","2026-09-22"
"avaya_call_log_report_2026-08-07","avaya-call-log","2026-08-07","avaya_call_log_report_2026-08-07.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","d4f8a1aa8c8b9251190b487c3a2a1d5745f9fb737f33c23619603e491168df68","2026-09-22"
"avaya_call_log_report_2026-08-10","avaya-call-log","2026-08-10","avaya_call_log_report_2026-08-10.md","scheduled_reported","reported_additions_with_skips","selected_narrative","2","36","reported existing-sheet verification and downloaded worksheet listing","no user present per report","Two malformed inputs retained","1cff0fa4af7890c4515615252ee88138f21c706ba1a7be4dfcab27bbf4cce7c8","2026-09-22"
"avaya_call_log_report_2026-09-10","avaya-call-log","2026-09-10","avaya_call_log_report_2026-09-10.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","79002814082d3faa54c59f9fdacf08a91fe58709c0a67d206530255e656e834d","2026-09-22"
"avaya_call_log_report_2026-09-11_aborted","avaya-call-log","2026-09-11","avaya_call_log_report_2026-09-11_aborted.md","scheduled_reported","blocked_before_connection","selected_narrative","0","0","not reached","external recovery required","Separate from same-day native report","aec65b3d46c6aebfc6ee40805d88f97343e3bd7826eab73f9750269ceb1e7b1a","2026-09-22"
"avaya_call_log_report_2026-09-11","avaya-call-log","2026-09-11","avaya_call_log_report_2026-09-11.md","native_recovery_trigger_unknown","reported_additions_with_skips","selected_narrative","1","21","seven existing sheets checked; eight after publication per report","native recovery; trigger unknown","Prior destination updates have unknown exporter; separate same-day abort artifact","e5bb4cae399a75ef3d55f00c9d08ac85a5256469606b9d5a535d73e8a9a6a87b","2026-09-22"
"avaya_call_log_report_2026-09-14","avaya-call-log","2026-09-14","avaya_call_log_report_2026-09-14.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","2383dc4f450406944a32af97edfcdde0ea03825d41dad23cc6ee13dde2e44cd9","2026-09-22"
"nas_access_log_report_2026-06-12","nas-access-log","2026-06-12","nas_access_log_report_2026-06-12.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","b6dee8e4d7dcf1e1b27b5fd33f668cb86e76c358fc604f8ba8a245fbc5c13cb8","2026-09-22"
"nas_access_log_report_2026-06-15","nas-access-log","2026-06-15","nas_access_log_report_2026-06-15.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","34b7aac23038dc4516482715cd999eb4a5062b9ffaa7048575de6125529c9f85","2026-09-22"
"nas_access_log_report_2026-06-16","nas-access-log","2026-06-16","nas_access_log_report_2026-06-16.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","9947091016e62ac34adb0f5d6818e11361fcc450124d4958db8acd67d6974a59","2026-09-22"
"nas_access_log_report_2026-06-17","nas-access-log","2026-06-17","nas_access_log_report_2026-06-17.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","ff1845a70efeb57ce86cf7ca5c8cb9a9f1c99ffc2aa21842205af1136cf2cf7d","2026-09-22"
"nas_access_log_report_2026-06-18","nas-access-log","2026-06-18","nas_access_log_report_2026-06-18.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","4eb5b0b360b51cdd4e0e257edfb4b071860ee13efa19f9536b60361f21e90edf","2026-09-22"
"nas_access_log_report_2026-06-19","nas-access-log","2026-06-19","nas_access_log_report_2026-06-19.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","45436a440f33c2576f57a245f4bf8f58f7c71732339691831f571ce78bacde22","2026-09-22"
"nas_access_log_report_2026-06-22","nas-access-log","2026-06-22","nas_access_log_report_2026-06-22.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","2e9ba65ccbb85e073ea5d43122a8baf85f004195b5e70af87a8f60f7d0d1f232","2026-09-22"
"nas_access_log_report_2026-06-23","nas-access-log","2026-06-23","nas_access_log_report_2026-06-23.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","7e9c0bd1458b5d3445a6997d48af6d63013201569fabfaba76eaf4d0f0e28328","2026-09-22"
"nas_access_log_report_2026-06-24","nas-access-log","2026-06-24","nas_access_log_report_2026-06-24.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","328106ca04f6ae1f928fb75f716da7390c61f63060b354b133b9b7c612f3af28","2026-09-22"
"nas_access_log_report_2026-06-25","nas-access-log","2026-06-25","nas_access_log_report_2026-06-25.md","unknown","reported_additions_after_correction","selected_narrative","1","14511","fresh original counts and content comparisons reported","in-session correction reported; trigger unknown","Duplicate header detected before upload","006a86b60e775f7a277194b0f947dd8260b3d8f592304ed40b020ffeb7f94d8f","2026-09-22"
"nas_access_log_report_2026-06-26","nas-access-log","2026-06-26","nas_access_log_report_2026-06-26.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","d57c86fcba14efba532478deb83164bd75eb5b218ec10a86519ebf25dd40bad0","2026-09-22"
"nas_access_log_report_2026-06-29","nas-access-log","2026-06-29","nas_access_log_report_2026-06-29.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","ffcf10b015df6a8549f915ed36cb0673c1d0b841cb2a3941ab2af70bb727d6e5","2026-09-22"
"nas_access_log_report_2026-06-30","nas-access-log","2026-06-30","nas_access_log_report_2026-06-30.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","e17c11e888b6d2d200c2caadffd0787ce8a7fee90e1d9937ab020b7bcb86b686","2026-09-22"
"nas_access_log_report_2026-07-01","nas-access-log","2026-07-01","nas_access_log_report_2026-07-01.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","e88087a74eb00b05bc27d6984d0b65ede88db0bc8b7e3b093d9e26bb9df53dc5","2026-09-22"
"nas_access_log_report_2026-07-02","nas-access-log","2026-07-02","nas_access_log_report_2026-07-02.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","eb994a0dd37e1ae2fe960fe64f4832bb9b18d88057c1671a8cdabf47accdd975","2026-09-22"
"nas_access_log_report_2026-07-03","nas-access-log","2026-07-03","nas_access_log_report_2026-07-03.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","d83d9da9f88adb69888d7f238675479352c030f7c99b24dbd475393be4f7bc43","2026-09-22"
"nas_access_log_report_2026-07-06","nas-access-log","2026-07-06","nas_access_log_report_2026-07-06.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","2c8ce366b3aba24558dafe45b5a84f19a396e4da2f1b800045f1e66f7f3aa19b","2026-09-22"
"nas_access_log_report_2026-07-07","nas-access-log","2026-07-07","nas_access_log_report_2026-07-07.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","30dd4dc8f53a063725dbf021e9e5f4676bc207cf7147fd20c22432f3191702ca","2026-09-22"
"nas_access_log_report_2026-07-08","nas-access-log","2026-07-08","nas_access_log_report_2026-07-08.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","8cf50021906e138637d84f5196257fd6fde7dd2b16ab15971d3fc4b8bff96a66","2026-09-22"
"nas_access_log_report_2026-07-09","nas-access-log","2026-07-09","nas_access_log_report_2026-07-09.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","bce341732b0fba3e02a82f09ff9ffb0cb12d2e70661cb7128307b86918881ef7","2026-09-22"
"nas_access_log_report_2026-07-10","nas-access-log","2026-07-10","nas_access_log_report_2026-07-10.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","c8c211624f99b3f8d9c77c00db3da75c99e72b2fc92a7d1ccb1ac6963e7205ef","2026-09-22"
"nas_access_log_report_2026-07-13","nas-access-log","2026-07-13","nas_access_log_report_2026-07-13.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","4686c7cefeb5a0397d291b27269a1b42601f1462708bb557409be3a7f95e6902","2026-09-22"
"nas_access_log_report_2026-07-14","nas-access-log","2026-07-14","nas_access_log_report_2026-07-14.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","a03216570b3ecd81208468f8bd7bcc3b9c6c20a91d9da0eced2ad16ee627ca57","2026-09-22"
"nas_access_log_report_2026-07-15","nas-access-log","2026-07-15","nas_access_log_report_2026-07-15.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","0b805e3b0bc02d2bce460823ab1ac7b6b843585733a9c1d12f701fa6741202f7","2026-09-22"
"nas_access_log_report_2026-07-16","nas-access-log","2026-07-16","nas_access_log_report_2026-07-16.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","66396cd6d0db7e47bffd06ffd4e3c0fde52285eb1db5b25f92b95dba9c8bba68","2026-09-22"
"nas_access_log_report_2026-07-17","nas-access-log","2026-07-17","nas_access_log_report_2026-07-17.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","02e0cb4533d9e74e57a64d3462a16c8b1b1420990250b9d33feb862c538a0d65","2026-09-22"
"nas_access_log_report_2026-07-20","nas-access-log","2026-07-20","nas_access_log_report_2026-07-20.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","17594fc933963a83bc4827e4c4a388b2c6681449819ae27e6fe380537521af88","2026-09-22"
"nas_access_log_report_2026-07-21","nas-access-log","2026-07-21","nas_access_log_report_2026-07-21.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","53166057ee4154da61d28a2b7cf850b951db24212284d5d10e68dcd76120eb4f","2026-09-22"
"nas_access_log_report_2026-07-22","nas-access-log","2026-07-22","nas_access_log_report_2026-07-22.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","7c73703a9c52d1a649052e7b3e1069cf9da7393dcceca5e37a43f56762ac076f","2026-09-22"
"nas_access_log_report_2026-07-23","nas-access-log","2026-07-23","nas_access_log_report_2026-07-23.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","51eb799e089ee5da464ef12c371d6581d16142f64d8a3a08835572f20afc5d16","2026-09-22"
"nas_access_log_report_2026-07-24","nas-access-log","2026-07-24","nas_access_log_report_2026-07-24.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","d01be5bb5730350525443d2106ade61b112d109759badd82d8a03d1bcfd38220","2026-09-22"
"nas_access_log_report_2026-07-27","nas-access-log","2026-07-27","nas_access_log_report_2026-07-27.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","43cdfe135f8d7bd306d572505e66ca3e6ab300af5c6ec953d3531ab5b606865f","2026-09-22"
"nas_access_log_report_2026-07-28","nas-access-log","2026-07-28","nas_access_log_report_2026-07-28.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","7a77ce89c02843f553a6e02bbc004f69cdced3705d6d1927e60c90859b8e0a37","2026-09-22"
"nas_access_log_report_2026-07-29","nas-access-log","2026-07-29","nas_access_log_report_2026-07-29.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","6600b883881326f4262a68f6c8b6bc07f8d22c62e64f3a5643d1162da7c0fd1b","2026-09-22"
"nas_access_log_report_2026-07-30","nas-access-log","2026-07-30","nas_access_log_report_2026-07-30.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","c1252e505e1fcb73914287c424425f5f1434329c14cde981c391601cd188b43c","2026-09-22"
"nas_access_log_report_2026-07-31","nas-access-log","2026-07-31","nas_access_log_report_2026-07-31.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","ffb5f8a3bd6fae40a1ae91e08e1a82f2adf7543981055d44cf89ace8ec1b9c06","2026-09-22"
"nas_access_log_report_2026-08-03","nas-access-log","2026-08-03","nas_access_log_report_2026-08-03.md","scheduled_reported","reported_additions","selected_narrative","2","19121","reported local and downloaded-copy counts with sampled content","unknown","313721 data rows describes JUL workbook total; 18415 JUL and 706 AUG rows added","6785fff3f9780df9432bf812378fa33b94c359b3e83a02e185644df0951c6674","2026-09-22"
"nas_access_log_report_2026-08-04","nas-access-log","2026-08-04","nas_access_log_report_2026-08-04.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","391e953608a41a900514d50d557380354ecde547feff9f8eee9e1b0acf8d3c50","2026-09-22"
"nas_access_log_report_2026-08-05","nas-access-log","2026-08-05","nas_access_log_report_2026-08-05.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","f3297f172b06a687905ca7c1651ed674fd0704b795703fcd2c0df27f08904996","2026-09-22"
"nas_access_log_report_2026-08-06","nas-access-log","2026-08-06","nas_access_log_report_2026-08-06.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","09668b66df36254bb9002d06bd908f661894a06d5189d26ef9d5f3b69d783237","2026-09-22"
"nas_access_log_report_2026-08-07","nas-access-log","2026-08-07","nas_access_log_report_2026-08-07.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","093af803216c28d108e222c3cf860f222a0f8bf3f7d9c6a68cafc112d88b9b75","2026-09-22"
"nas_access_log_report_2026-08-10","nas-access-log","2026-08-10","nas_access_log_report_2026-08-10.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","c10dca7e719f4e651a26c3569964e5c38376a0d61dc09148e17f0dfd227d2b2b","2026-09-22"
"nas_access_log_report_2026-09-11","nas-access-log","2026-09-11","nas_access_log_report_2026-09-11.md","unknown","unknown","inventory_only","","","not assessed","unknown","Report artifact inventoried; execution mode and result not individually assessed","d4745749de7b8a6b59b9611f8c831dfc7d60c7f9ad404e2a778911141cc4228f","2026-09-22"
"nas_access_log_report_2026-09-14","nas-access-log","2026-09-14","nas_access_log_report_2026-09-14.md","scheduled_reported","blocked_before_authentication","selected_narrative","0","0","not reached","external recovery required","Earlier outage cause not established by later vendor error","83f03855ab6a57558f17623d415cca7ce0398af9fa05e3044bbcfe16e71f45f2","2026-09-22"
